Reaction Date,Reaction Type,Parent Type,Parent ID
"May 6, 2014, 2:43:29 PM",Kudos,Activity,137302142
"May 6, 2014, 2:43:35 PM",Kudos,Activity,137024894
"May 6, 2014, 2:43:45 PM",Kudos,Activity,137138123
"May 6, 2014, 2:43:57 PM",Kudos,Activity,137207983
"May 6, 2014, 2:44:00 PM",Kudos,Activity,137176714
"May 6, 2014, 2:44:09 PM",Kudos,Activity,137204891
"May 6, 2014, 9:13:12 PM",Kudos,Activity,138220385
"May 6, 2014, 9:13:13 PM",Kudos,Activity,138220549
"May 7, 2014, 8:25:05 PM",Kudos,Activity,138542926
"May 10, 2014, 3:55:38 PM",Kudos,Activity,139533706
"May 12, 2014, 10:56:08 AM",Kudos,Activity,140217411
"May 12, 2014, 10:58:45 AM",Kudos,Activity,139885084
"May 12, 2014, 10:59:47 AM",Kudos,Activity,139506187
"May 17, 2014, 4:03:02 PM",Kudos,Activity,142093451
"May 17, 2014, 4:03:13 PM",Kudos,Activity,141513493
"May 17, 2014, 4:03:19 PM",Kudos,Activity,141456119
"May 17, 2014, 4:03:34 PM",Kudos,Activity,141085767
"May 17, 2014, 4:03:42 PM",Kudos,Activity,140737428
"May 17, 2014, 4:03:44 PM",Kudos,Activity,140728483
"May 17, 2014, 4:04:07 PM",Kudos,Activity,140382039
"May 18, 2014, 1:03:44 PM",Kudos,Activity,142242831
"May 18, 2014, 1:03:47 PM",Kudos,Activity,142552407
"May 18, 2014, 6:26:35 PM",Kudos,Activity,142612752
"May 18, 2014, 6:27:00 PM",Kudos,Activity,142663342
"May 19, 2014, 3:40:25 PM",Kudos,Activity,142698533
"May 19, 2014, 3:40:47 PM",Kudos,Activity,143021226
"May 20, 2014, 6:23:52 PM",Kudos,Activity,143491113
"May 21, 2014, 3:43:37 PM",Kudos,Feed Entry,5874156
"May 21, 2014, 3:43:40 PM",Kudos,Activity,143650503
"May 22, 2014, 3:45:13 PM",Kudos,Activity,143954076
"May 22, 2014, 5:59:09 PM",Kudos,Activity,144303971
"May 23, 2014, 6:29:47 AM",Kudos,Feed Entry,5902983
"May 25, 2014, 12:48:28 PM",Kudos,Activity,144621390
"May 25, 2014, 12:48:31 PM",Kudos,Activity,144835606
"May 25, 2014, 12:48:35 PM",Kudos,Activity,144877658
"May 25, 2014, 12:48:39 PM",Kudos,Activity,145027594
"May 25, 2014, 12:48:48 PM",Kudos,Activity,145097807
"May 25, 2014, 6:43:40 PM",Kudos,Activity,145456207
"May 25, 2014, 6:43:57 PM",Kudos,Activity,145481936
"May 25, 2014, 6:43:59 PM",Kudos,Activity,145489004
"May 25, 2014, 6:44:24 PM",Kudos,Activity,145489047
"May 31, 2014, 4:06:01 PM",Kudos,Activity,147590410
"May 31, 2014, 4:06:15 PM",Kudos,Activity,147326614
"May 31, 2014, 4:06:40 PM",Kudos,Activity,146949609
"May 31, 2014, 4:07:21 PM",Kudos,Activity,146262473
"May 31, 2014, 8:37:06 PM",Kudos,Activity,147801958
"Jun 6, 2014, 7:20:56 AM",Kudos,Activity,149817450
"Jun 6, 2014, 7:21:37 AM",Kudos,Activity,150016153
"Jun 7, 2014, 3:25:12 PM",Kudos,Activity,150485198
"Jun 7, 2014, 10:08:14 PM",Kudos,Activity,150616130
"Jun 8, 2014, 1:18:55 PM",Kudos,Activity,150858058
"Jun 8, 2014, 8:37:23 PM",Kudos,Activity,151058010
"Jun 8, 2014, 8:41:23 PM",Kudos,Activity,151100576
"Jun 10, 2014, 9:38:41 PM",Kudos,Activity,151959131
"Jun 11, 2014, 8:57:39 PM",Kudos,Activity,152299794
"Jun 14, 2014, 2:38:06 PM",Kudos,Activity,153368809
"Jun 14, 2014, 2:38:09 PM",Kudos,Activity,153367239
"Jun 14, 2014, 2:38:37 PM",Kudos,Activity,152914870
"Jun 14, 2014, 2:38:58 PM",Kudos,Activity,152914871
"Jun 18, 2014, 5:08:13 PM",Kudos,Activity,154739651
"Jun 18, 2014, 5:08:16 PM",Kudos,Activity,154739089
"Jun 18, 2014, 5:08:26 PM",Kudos,Activity,154800777
"Jun 18, 2014, 5:08:52 PM",Kudos,Activity,153754498
"Jun 19, 2014, 5:32:30 PM",Kudos,Activity,155130942
"Jun 20, 2014, 12:54:16 PM",Kudos,Activity,155560704
"Jun 20, 2014, 12:54:27 PM",Kudos,Activity,155138837
"Jun 25, 2014, 4:53:58 PM",Kudos,Activity,157600156
"Jun 25, 2014, 4:53:59 PM",Kudos,Activity,157950363
"Jun 25, 2014, 4:54:36 PM",Kudos,Activity,156627589
"Jun 25, 2014, 4:54:38 PM",Kudos,Activity,156260588
"Jun 25, 2014, 4:54:52 PM",Kudos,Activity,156627602
"Jun 25, 2014, 4:54:54 PM",Kudos,Activity,156110076
"Jun 25, 2014, 4:55:31 PM",Kudos,Activity,156615728
"Jun 25, 2014, 4:55:34 PM",Kudos,Activity,156347297
"Jun 27, 2014, 2:33:17 PM",Kudos,Activity,158470959
"Jun 27, 2014, 2:33:23 PM",Kudos,Activity,158470918
"Jun 29, 2014, 7:11:49 PM",Kudos,Activity,159224168
"Jun 29, 2014, 7:11:50 PM",Kudos,Activity,159397349
